MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	rna_cell	Sample	meth_cell
0.519412534	-0.705154123	-1.541751699	-0.844648927	0.550528208	0.403193717	-0.246555436	-0.100378403	NPC.1	NPC.1	MGH105D_P7_F4_S66_L004_R1_001	MGH105D	MGH105D_P7_E1_S3_L004.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.556254976	-0.122454696	-0.493727609	0.294588623	0.82145023	0.093919943	0.191227598	-0.214898217	NPC.1	NPC.1	MGH105D_P7_H5_S89_L004_R1_001	MGH105D	MGH105D_P7_G1_S4_L004.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.085696927	-0.647438262	-2.164626451	0.846311365	1.832368597	0.759557948	-0.52363504	-0.079282781	NPC.1	NPC.1	MGH105D_P7_H7_S91_L004_R1_001	MGH105D	MGH105D_P7_G1_S4_L004.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.090991093	-0.024433383	0.171722869	-0.064538921	0.321698085	-0.043836245	0.102106739	0.175235938	NPC.1	NPC.1	MGH105D_P7_H9_S6_L004_R1_001	MGH105D	NA
-0.228763226	-1.10416784	-1.29030776	2.582523359	0.236992199	0.107844931	0.022112303	-0.367089085	OPC	OPC	MGH105D_P7_B11_S28_L004_R1_001	MGH105D	MGH105D_P7_A1_S1_L004.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.024430354	-0.939522654	-0.988346024	1.165060314	1.118416282	0.407993252	-0.40893926	0.002199322	OPC	OPC	MGH105D_P7_E2_S53_L004_R1_001	MGH105D	MGH105D_P7_E1_S3_L004.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.479180491	-0.842638286	0.292741329	0.304261847	0.127350924	0.182087351	-0.089188118	-0.252567568	OPC	OPC	MGH105D_P7_G4_S77_L004_R1_001	MGH105D	MGH105D_P7_G1_S4_L004.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-1.056921113	-0.331817384	0.304385799	0.095958725	-0.24873686	-0.05793664	0.037055806	-0.301746643	AC	AC	MGH115_P5_A11_S11_L003_R1_001	MGH115	MGH115_P7_A1_S1_L002.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.31535006	-0.063654468	1.508567987	0.528577462	0.066950841	0.020669901	-0.402722174	-0.521682055	AC	AC	MGH115_P5_B9_S21_L003_R1_001	MGH115	MGH115_P7_A1_S1_L002.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.849947106	-0.30563556	0.767085784	0.527850984	0.662095249	0.16888353	-0.420720985	-0.287306099	AC	AC	MGH115_P5_C5_S29_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.433568921	0.898062281	1.185557103	0.281690866	-0.058797564	-0.31539419	-0.162813117	-0.460887768	AC	AC	MGH115_P5_D11_S47_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.670443109	-0.042491647	0.980572474	0.194360997	0.432061944	0.341912718	-0.268342548	-0.123475586	AC	AC	MGH115_P5_D12_S48_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.067821863	0.283833905	0.734552933	-0.125025339	-0.301641099	-0.138538901	-0.298224993	-0.368242439	AC	AC	MGH115_P5_E11_S59_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.616798393	-0.273442065	1.850755392	1.076672552	0.900639578	-0.035311059	-0.311888246	-0.33739379	AC	AC	MGH115_P5_E5_S53_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.463195064	0.66098445	2.549480273	0.847417975	0.297072082	-0.047296397	0.229019248	-0.371555448	AC	AC	MGH115_P5_G1_S73_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.83569908	-0.719402038	2.301812432	0.938563737	0.395221128	0.30403314	-0.129029171	-0.297687485	AC	AC	MGH115_P5_G10_S82_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.253549194	-0.138341563	0.953700601	0.240444204	0.168145472	0.117419186	-0.298457823	-0.126348784	AC	AC	MGH115_P5_H4_S88_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.412130364	-0.037356564	0.705595449	0.155096385	-0.36284244	-0.319646963	-0.474242372	-0.44886413	AC	AC	MGH115_P5_H6_S90_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.891917843	-0.344642847	2.245319308	0.857332879	0.214991944	0.08741233	-0.242448163	-0.273225	AC	AC	MGH115_P5_H7_S91_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.796913196	0.277024958	1.334553301	0.316460003	-0.412800169	-0.183002862	0.263900442	-0.472420092	AC	AC	MGH115_P5_H8_S92_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
-1.192600806	-0.676948863	1.237373124	0.296651453	0.062119069	-0.264926088	2.548790809	1.84505936	G1.S	AC	MGH115_P5_B8_S20_L003_R1_001	MGH115	MGH115_P7_A1_S1_L002.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.525512727	0.388193373	-2.229136831	-1.174714784	-0.795956247	0.079706979	0.744171661	0.370785143	G1.S	MES.2	MGH115_P5_D1_S37_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.360090958	-0.911753751	-1.973277028	-1.265927488	-0.640728125	-0.556693328	0.440422976	0.077056649	G1.S	MES.2	MGH115_P5_E9_S57_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.512277893	0.029493489	0.515621435	0.010646328	0.308961324	-0.085491666	0.144686187	3.134269046	G2.M	AC	MGH115_P5_C2_S26_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.408622557	0.675502869	0.48707789	-0.20015744	-0.397027797	0.058092424	0.85910255	2.090298952	G2.M	MES.1	MGH115_P5_E7_S55_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
0.858626333	1.052525805	-1.532186383	-1.00713772	-0.891600717	-0.022060974	0.095953684	-0.013277553	MES.1	MES.1	MGH115_P5_A4_S4_L003_R1_001	MGH115	MGH115_P7_A1_S1_L002.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.027145413	1.087885432	0.388577203	0.480241181	0.137345698	0.22944645	-0.233348529	-0.445614747	MES.1	MES.1	MGH115_P5_D3_S39_L003_R1_001	MGH115	NA
0.905816396	1.33404857	-1.727454924	-0.932674887	-0.555614498	-0.268148398	0.103405977	0.12046807	MES.1	MES.1	MGH115_P5_E4_S52_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.22815273	0.468505283	-0.270559645	-0.8077051	-0.810857534	-0.424813083	0.117691284	-0.365995658	MES.1	MES.1	MGH115_P5_H9_S93_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
2.082523323	0.356688606	-1.643634757	-1.177187514	-1.20062787	-0.671745441	-0.05345899	0.217410731	MES.2	MES.2	MGH115_P5_B3_S15_L003_R1_001	MGH115	MGH115_P7_A1_S1_L002.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
0.477436182	0.190688102	-2.066004518	-1.226541085	-1.207642979	-0.606061749	0.109308583	-0.388557667	MES.2	MES.2	MGH115_P5_C1_S25_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
0.721969993	0.416133046	-1.847324825	-1.021315486	-0.7471304	-0.450336567	0.027855684	0.119837812	MES.2	MES.2	MGH115_P5_C12_S36_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
1.830442091	0.531364947	-1.296856922	-0.677437097	-0.797477727	-0.246040849	-0.244932891	0.167295742	MES.2	MES.2	MGH115_P5_C3_S27_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
1.353167581	0.232676438	-1.718527566	-1.309945339	-0.880661556	-0.341574858	0.037129104	-0.084413942	MES.2	MES.2	MGH115_P5_D8_S44_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.681805681	0.454732986	-1.809672213	-0.893660989	-1.154876029	-0.502558225	-0.265262844	-0.009569428	MES.2	MES.2	MGH115_P5_E10_S58_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
1.596917923	0.820353309	-1.782697931	-1.169326463	-1.049144931	-0.522901495	-0.237875776	-0.026135236	MES.2	MES.2	MGH115_P5_E8_S56_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.851535939	-0.374338548	0.167817181	0.445866627	-0.322113456	-0.038728263	-0.242643016	0.05886658	MES.2	MES.2	MGH115_P5_F1_S61_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
1.484169643	1.020699972	-0.371206431	-0.708367595	-0.703036674	-0.176989536	-0.325368577	-0.059374315	MES.2	MES.2	MGH115_P5_F6_S66_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
1.391923894	1.172703317	0.453678371	-0.400459276	-0.521156359	-0.114105982	0.320307068	-0.130145427	MES.2	MES.2	MGH115_P5_G8_S80_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.976435483	-1.005850676	0.566540403	1.244608307	1.355907878	0.433322485	-0.539730712	-0.471930666	NPC.1	NPC.1	MGH115_P5_B7_S19_L003_R1_001	MGH115	MGH115_P7_A1_S1_L002.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.911382571	-1.560685634	-0.588976724	1.391176314	1.928317514	1.093142055	-0.191415662	-0.498580288	NPC.1	NPC.1	MGH115_P5_C7_S31_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.675112242	-1.802734104	-0.145660874	0.789875663	1.393033809	0.639568295	-0.100375971	-0.45408182	NPC.1	NPC.1	MGH115_P5_D7_S43_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-1.159220234	-1.016673386	-0.473913183	0.701384301	1.998022905	0.592838708	-0.533266104	-0.113066231	NPC.1	NPC.1	MGH115_P5_F11_S71_L003_R1_001	MGH115	MGH115_P7_E1_S3_L002.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
-1.079046673	-1.395404019	-1.187681818	1.347618276	2.33723611	0.894525943	0.048650087	-0.202335745	NPC.1	NPC.1	MGH115_P5_H2_S86_L003_R1_001	MGH115	MGH115_P7_G1_S4_L002.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
0.505863267	-0.132112221	0.070074618	-0.033690785	0.179654004	0.697076158	-0.095860754	-0.249668434	NPC.2	NPC.2	MGH115_P5_B1_S13_L003_R1_001	MGH115	MGH115_P7_A1_S1_L002.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.923237276	-1.232326708	1.37905832	1.428281575	1.191226109	0.725299364	-0.181804381	-0.406553104	OPC	OPC	MGH115_P5_D4_S40_L003_R1_001	MGH115	MGH115_P7_C1_S2_L002.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.572086843	1.269324929	1.643845017	0.295273888	-0.485100833	-0.473610776	-0.410482346	-0.43450586	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.17_S17_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.255675428	0.502154727	1.456965069	0.72267608	-0.348294605	0.227245866	-0.404180426	-0.191758152	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.23_S23_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.163243138	0.268416064	0.604315642	0.200514568	-0.295897176	-0.042272232	-0.533708648	-0.087572912	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.26_S26_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.30894893	0.680082093	1.257587439	0.260721939	-0.588857608	-0.072908013	-0.592156024	-0.312234168	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.27_S27_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.048851832	0.129253564	1.09759864	0.279637101	0.006372829	-0.195730996	-0.32033725	-0.158906331	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.3_S3_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
0.710537897	1.188982679	1.246713528	0.17589646	-0.562862045	0.091017413	-0.421929755	-0.40842968	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.31_S31_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.298726325	0.215473011	0.797393765	0.218733132	-0.007631117	-0.164406284	-0.966532101	-0.554178036	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.33_S33_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.36768018	-0.1320982	0.342338044	-0.66746429	0.2348614	0.212648754	-0.990562959	-0.247035342	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.34_S34_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.259789331	-0.543220916	0.316011029	-0.353776232	0.167482494	0.02567436	-0.447374497	-0.23258419	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.36_S36_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.193702956	0.292021741	0.500400451	-0.501078921	-0.812211562	-0.577016307	-0.923045992	-0.48975934	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.40_S40_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.36750019	0.897171112	1.562157343	-0.080270086	-0.603762836	-0.156597212	-0.87921841	-0.278826621	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.46_S46_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.401252148	0.264973298	0.970762756	0.15791286	-0.117163431	0.16307018	-0.407224816	-0.371061694	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.49_S49_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.450513364	-0.300506207	0.613705329	0.340333816	0.36250162	-0.200446105	0.037513619	-0.187727422	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.5_S5_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.414417876	0.036805593	0.574616737	-0.000525141	-0.526867828	-0.266272134	-0.967905609	-0.348102929	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.50_S50_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.219879701	-0.530758502	0.268146247	-0.495400709	-0.407830207	-0.328948149	0.117299132	0.122419419	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.55_S55_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.025504506	-0.082039497	0.314451281	-0.19659523	-0.322193872	-0.345004824	-0.144462471	-0.320119661	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.57_S57_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.095525938	0.440626444	0.507903683	-0.182180425	-0.701215836	-0.140955407	-0.442922729	-0.044006703	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.7_S7_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.018068249	1.362729949	1.47325743	0.274607258	-0.59892059	-0.16968508	-0.435461653	-0.239602536	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.75_S75_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.082526847	0.456675028	0.624449265	-0.224842368	-0.274024665	0.083841223	-0.211971125	-0.2961366	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.80_S80_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.149643678	0.297229804	0.822731123	0.365877712	0.553848273	-0.174506102	-0.285733523	-0.137756893	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.83_S83_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
0.015121493	-0.128979951	0.460797557	0.179504524	0.238821905	-0.0974748	0.060336467	-0.291464299	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.90_S90_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.228333608	-0.176657262	0.024699554	-0.512365086	-0.34434303	-0.120347816	-0.216226781	-0.041109539	AC	AC	MGH121_Plate_1_cDNA_fromECRC5789.92_S92_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.196711914	0.003968229	0.656307899	-0.374335151	-0.673935302	-0.332707111	1.397137415	0.519605417	G1.S	AC	MGH121_Plate_1_cDNA_fromECRC5789.32_S32_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.066349174	0.218555044	0.324808531	-0.269551276	-0.93932649	-0.286612682	2.321799383	0.711320867	G1.S	AC	MGH121_Plate_1_cDNA_fromECRC5789.52_S52_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.345243456	-0.014586097	0.485729514	-0.273908407	-0.730094493	-0.540507422	1.493520107	0.401920725	G1.S	AC	MGH121_Plate_1_cDNA_fromECRC5789.56_S56_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.158053753	-0.049260406	0.057500957	-0.273226447	-0.434844469	-0.189963777	0.148374426	-0.118819057	G1.S	AC	MGH121_Plate_1_cDNA_fromECRC5789.59_S59_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.331471663	-0.078141059	0.725377628	0.123138387	-0.062754015	-0.309999109	2.021926726	0.872819097	G1.S	AC	MGH121_Plate_1_cDNA_fromECRC5789.60_S60_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.26172369	-0.272802557	0.15453899	0.000453994	-0.544867583	-0.315985329	2.214714015	1.929071317	G1.S	AC	MGH121_Plate_1_cDNA_fromECRC5789.9_S9_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.144407571	0.143745702	0.127329078	-0.27097947	-0.219189888	0.102905324	1.781334892	0.466443015	G1.S	MES.1	MGH121_Plate_1_cDNA_fromECRC5789.15_S15_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
0.023736543	0.084765037	-0.14384234	-0.63533643	-0.654786601	-0.09045214	0.087305804	0.008448913	G1.S	MES.1	MGH121_Plate_1_cDNA_fromECRC5789.2_S2_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.030804382	-0.016916516	-0.040565272	-0.581997159	-0.316710422	-0.496853277	1.175538946	0.012412684	G1.S	MES.1	MGH121_Plate_1_cDNA_fromECRC5789.28_S28_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.043733973	-0.351155765	-0.660446918	-0.702562608	0.002153044	-0.052375504	1.725655237	0.596774598	G1.S	MES.2	MGH121_Plate_1_cDNA_fromECRC5789.18_S18_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.333280499	0.104446647	-0.54363071	-0.445174425	-0.181219062	-0.189900382	0.948444742	-0.038516381	G1.S	MES.2	MGH121_Plate_1_cDNA_fromECRC5789.22_S22_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.043844202	-0.116595445	-0.046072307	-0.884001289	-0.859165428	-0.414879764	1.523397043	1.442178459	G1.S	MES.2	MGH121_Plate_1_cDNA_fromECRC5789.81_S81_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.252100106	-0.429236968	-0.121004837	0.382378627	0.598576919	0.076858371	0.985871978	0.184858512	G1.S	NPC.1	MGH121_Plate_1_cDNA_fromECRC5789.61_S61_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.443383313	-0.407997873	-0.86109126	-0.586105563	-0.026574577	-0.281771228	2.088507227	1.801651485	G1.S	NPC.1	MGH121_Plate_1_cDNA_fromECRC5789.63_S63_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.542314308	-0.781143282	-0.375766401	0.341390934	0.518013323	0.306450203	1.225512718	-0.150010345	G1.S	NPC.1	MGH121_Plate_1_cDNA_fromECRC5789.86_S86_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
0.034950306	-0.870751789	-0.66326157	0.204295044	0.647317127	0.303835664	0.792796686	-0.070886023	G1.S	NPC.1	MGH121_Plate_1_cDNA_fromECRC5789.93_S93_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.22904716	-0.390368143	-0.761254699	-0.466431821	-0.123145763	0.00018763	2.295548535	0.895447047	G1.S	NPC.2	MGH121_Plate_1_cDNA_fromECRC5789.10_S10_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.401088261	-0.379229968	-0.248379225	-0.499443726	-0.462344139	-0.218519295	2.358379564	1.929751524	G1.S	NPC.2	MGH121_Plate_1_cDNA_fromECRC5789.6_S6_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.461715244	-0.460465501	-0.270702373	-0.311214794	-0.110500921	0.413534659	0.641132321	-0.069937207	G1.S	NPC.2	MGH121_Plate_1_cDNA_fromECRC5789.76_S76_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.452964473	-0.851244045	-1.228243127	-0.564699171	0.320499505	0.366710442	2.290349975	2.144991212	G1.S	NPC.2	MGH121_Plate_1_cDNA_fromECRC5789.87_S87_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.066503615	-0.61721437	-0.543280748	1.125862065	0.459853288	0.18012587	2.363716049	1.692615507	G1.S	OPC	MGH121_Plate_1_cDNA_fromECRC5789.73_S73_L008_R1_001	MGH121	GBM_MGH121_Plate1_G1_S4_L006.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.495862623	-0.178300177	-1.049495151	0.278012164	0.58818701	0.162669164	-0.511630302	2.550198927	G2.M	NPC.1	MGH121_Plate_1_cDNA_fromECRC5789.41_S41_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.175213393	1.11753398	1.113491937	-0.260704911	-0.793594382	-0.667395934	-0.357719198	-0.219108152	MES.1	MES.1	MGH121_Plate_1_cDNA_fromECRC5789.39_S39_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.289666008	0.380696717	-0.179695263	-0.430436934	-0.187918227	-0.409795557	-0.450000771	-0.187730444	MES.1	MES.1	MGH121_Plate_1_cDNA_fromECRC5789.4_S4_L008_R1_001	MGH121	GBM_MGH121_Plate1_A1_S1_L006.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.110098	0.23172359	0.052356091	-0.469308118	-0.505012005	-0.14615091	-0.649201524	-0.49793653	MES.1	MES.1	MGH121_Plate_1_cDNA_fromECRC5789.48_S48_L008_R1_001	MGH121	GBM_MGH121_Plate1_C1_S2_L006.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.409704171	1.616353084	1.437940949	-0.154442224	-0.906701362	-0.251186906	-0.360033139	-0.57345037	MES.1	MES.1	MGH121_Plate_1_cDNA_fromECRC5789.54_S54_L008_R1_001	MGH121	GBM_MGH121_Plate1_E1_S3_L006.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
